code,city,state,latitude,longitude
s0000001,Athabasca,AB,54.72,-113.28
s0000045,Edmonton,AB,53.53,-113.49
s0000047,Calgary,AB,51.05,-114.06
s0000066,Highvale,AB,53.45,-114.52
s0000068,Strathmore,AB,51.05,-113.39
s0000083,Sundre,AB,51.8,-114.64
s0000092,Beaverlodge,AB,55.21,-119.43
s0000093,Brooks,AB,50.57,-111.9
s0000111,Coronation,AB,52.09,-111.45
s0000119,Willow Creek (Provincial Park),AB,50.12,-113.77
s0000120,Claresholm,AB,50.02,-113.58
s0000126,Calgary (Olympic Park),AB,51.09,-114.23
s0000129,Drumheller,AB,51.46,-112.72
s0000156,Elk Island (National Park),AB,53.61,-112.87
s0000159,Cardston,AB,49.2,-113.3
s0000167,Garden Creek,AB,58.7,-113.88
s0000170,Waterton Park,AB,49.05,-113.91
s0000176,Esther,AB,51.68,-110.26
s0000179,Three Hills,AB,51.7,-113.27
s0000217,Hinton,AB,53.41,-117.56
s0000218,Jasper,AB,52.89,-118.17
s0000229,Lac La Biche,AB,54.77,-111.98
s0000263,Kananaskis (Nakiska Ridgetop),AB,51.08,-115.13
s0000272,Onefour,AB,49.12,-110.47
s0000277,Breton,AB,53.11,-114.47
s0000279,Hendrickson Creek,AB,53.77,-118.37
s0000297,Lacombe,AB,52.46,-113.73
s0000299,Red Earth Creek,AB,56.54,-115.29
s0000306,Rocky Mountain House,AB,52.37,-114.92
s0000310,Crowsnest,AB,49.63,-114.69
s0000311,Camrose,AB,53.02,-112.82
s0000312,Wetaskiwin,AB,52.97,-113.38
s0000313,Milk River,AB,49.15,-112.09
s0000356,Vegreville,AB,53.5,-112.05
s0000358,Vauxhall,AB,50.07,-112.11
s0000359,Taber,AB,49.78,-112.15
s0000379,Bow Valley (Provincial Park),AB,51.08,-115.07
s0000382,Bow Island,AB,49.87,-111.38
s0000383,High River,AB,50.58,-113.87
s0000384,Stavely,AB,50.16,-113.64
s0000403,Canmore,AB,51.08,-115.37
s0000404,Banff,AB,51.18,-115.57
s0000413,Barrhead,AB,54.12,-114.4
s0000427,Westlock,AB,54.16,-113.86
s0000448,Nordegg,AB,52.47,-116.08
s0000453,Stony Plain,AB,53.53,-114.01
s0000468,Drayton Valley,AB,53.22,-114.98
s0000477,Whitecourt,AB,54.14,-115.68
s0000493,Cochrane,AB,51.21,-114.47
s0000510,Edmonton (Int'l Aprt),AB,53.34,-113.54
s0000518,Edson,AB,53.58,-116.43
s0000523,Mildred Lake,AB,57.03,-111.6
s0000590,Lloydminster,AB,53.28,-110
s0000595,Fort McMurray,AB,56.73,-111.38
s0000619,Cold Lake,AB,54.45,-110.17
s0000621,High Level,AB,58.52,-117.13
s0000625,Peace River,AB,56.24,-117.3
s0000636,Fort Chipewyan,AB,58.71,-111.16
s0000643,Rainbow Lake,AB,58.5,-119.4
s0000645,Red Deer,AB,52.27,-113.81
s0000652,Lethbridge,AB,49.69,-112.84
s0000661,Grande Prairie,AB,55.17,-118.8
s0000683,Suffield,AB,50.22,-111.16
s0000745,Medicine Hat,AB,50.04,-110.68
s0000767,Okotoks,AB,50.73,-113.98
s0000768,Airdrie,AB,51.29,-114.01
s0000781,Grande Cache,AB,53.89,-119.12
s0000794,Slave Lake,AB,55.28,-114.77
s0000824,Pincher Creek,AB,49.49,-113.95
s0000829,Stettler,AB,52.32,-112.7
s0000833,Wainwright,AB,52.83,-110.86
s0000002,Clearwater,BC,51.65,-120.03
s0000003,Valemount,BC,52.83,-119.25
s0000004,Grand Forks,BC,49.03,-118.43
s0000005,McBride,BC,53.3,-120.17
s0000006,Merritt,BC,50.11,-120.79
s0000007,Masset,BC,54.02,-132.1
s0000008,Invermere,BC,50.52,-116.03
s0000009,Dome Creek,BC,53.75,-121.03
s0000078,Whistler,BC,50.12,-122.97
s0000106,100 Mile House,BC,51.65,-121.28
s0000107,Clinton,BC,51.08,-121.58
s0000132,Estevan Point,BC,49.38,-126.55
s0000141,Vancouver,BC,49.25,-123.12
s0000146,Prince George,BC,53.92,-122.75
s0000155,Gulf Islands (Southern),BC,48.95,-123.53
s0000173,Pemberton,BC,50.32,-122.8
s0000175,Sparwood,BC,49.72,-114.9
s0000212,Creston,BC,49.1,-116.5
s0000216,Vernon,BC,50.26,-119.27
s0000222,Lillooet,BC,50.68,-121.93
s0000224,Malahat,BC,48.55,-123.57
s0000226,Hope Slide,BC,49.3,-121.27
s0000227,Dease Lake,BC,58.43,-130.02
s0000228,Cassiar,BC,59.29,-129.85
s0000234,Gonzales Point,BC,48.41,-123.29
s0000242,Lytton,BC,50.23,-121.57
s0000247,Pitt Meadows,BC,49.22,-122.69
s0000258,Nelson,BC,49.5,-117.28
s0000259,Nakusp,BC,50.25,-117.8
s0000286,Esquimalt,BC,48.45,-123.42
s0000291,Princeton,BC,49.46,-120.51
s0000292,Puntzi Mountain,BC,52.17,-124.2
s0000293,Burns Lake,BC,54.23,-125.75
s0000294,Port Alberni,BC,49.24,-124.8
s0000316,Gibsons,BC,49.4,-123.5
s0000317,Sechelt,BC,49.47,-123.77
s0000323,Squamish,BC,49.75,-123.13
s0000324,Salmon Arm,BC,50.7,-119.27
s0000341,Tetsa River (Provincial Park),BC,58.65,-123.95
s0000351,Summerland,BC,49.6,-119.67
s0000373,White Rock,BC,49.02,-122.8
s0000376,Muncho Lake,BC,58.93,-125.77
s0000377,Liard River,BC,59.42,-126.08
s0000390,Victoria (University of),BC,48.46,-123.3
s0000391,Kootenay (National Park),BC,50.95,-116.03
s0000392,Yoho (National Park),BC,51.5,-116.5
s0000396,Rock Creek,BC,49.05,-119
s0000397,Osoyoos,BC,49.03,-119.45
s0000398,Chilliwack,BC,49.18,-121.94
s0000399,Agassiz,BC,49.23,-121.77
s0000409,Atlin,BC,59.57,-133.7
s0000465,Tatlayoko Lake,BC,51.72,-124.43
s0000471,Trail,BC,49.1,-117.7
s0000481,Tofino,BC,49.12,-125.88
s0000482,Ucluelet,BC,48.94,-125.55
s0000485,Bella Coola,BC,52.38,-126.75
s0000488,Campbell River,BC,50.02,-125.24
s0000496,Nanaimo,BC,49.17,-123.93
s0000497,Castlegar,BC,49.3,-117.67
s0000499,Blue River,BC,52.1,-119.3
s0000500,Chetwynd,BC,55.7,-121.63
s0000509,Dawson Creek,BC,55.77,-120.23
s0000527,Golden,BC,51.3,-116.97
s0000547,Hope,BC,49.38,-121.44
s0000568,Kamloops,BC,50.67,-120.33
s0000569,Cache Creek,BC,50.81,-121.32
s0000592,Kelowna,BC,49.88,-119.48
s0000633,Prince Rupert,BC,54.32,-130.32
s0000634,Powell River,BC,49.85,-124.53
s0000647,Good Hope Lake,BC,59.28,-129.3
s0000656,Comox,BC,49.68,-124.93
s0000657,Courtenay,BC,49.68,-124.98
s0000671,Quesnel,BC,53,-122.5
s0000679,Revelstoke,BC,50.98,-118.2
s0000735,Victoria Harbour,BC,48.42,-123.39
s0000739,Williams Lake,BC,52.14,-122.14
s0000741,Cranbrook,BC,49.5,-115.77
s0000746,Fort St. John,BC,56.25,-120.85
s0000754,Vanderhoof,BC,54.02,-124.02
s0000756,Kitimat,BC,54.05,-128.65
s0000757,Terrace,BC,54.52,-128.6
s0000758,Abbotsford,BC,49.06,-122.25
s0000770,Smithers,BC,54.78,-127.17
s0000771,Fort Nelson,BC,58.81,-122.7
s0000772,Penticton,BC,49.5,-119.58
s0000775,Victoria,BC,48.43,-123.37
s0000792,Victoria (Hartland),BC,48.52,-123.43
s0000795,Sandspit,BC,53.25,-131.82
s0000799,Port Hardy,BC,50.7,-127.42
s0000805,Mackenzie,BC,55.3,-123.17
s0000828,Stewart,BC,55.93,-129.98
s0000834,Bella Bella,BC,52.16,-128.14
s0000845,Cummins Lakes (Provincial Park),BC,52.1,-118.06
s0000862,Richmond,BC,49.16,-123.16
s0000863,Duncan,BC,48.78,-123.71
s0000864,Qualicum Beach,BC,49.35,-124.44
s0000865,West Vancouver,BC,49.33,-123.16
s0000866,Langley,BC,49.1,-122.66
s0000010,Little Grand Rapids,MB,52.04,-95.46
s0000011,Oxford House,MB,54.95,-95.27
s0000012,Bissett,MB,51.03,-95.68
s0000013,Shamattawa,MB,55.85,-92.09
s0000014,York Factory,MB,57,-92.31
s0000015,Flin Flon,MB,54.77,-101.86
s0000091,Bachelors Island,MB,51.75,-99.9
s0000101,Bloodvein,MB,51.79,-96.71
s0000102,Berens River,MB,52.37,-97.03
s0000130,Pinawa,MB,50.15,-95.88
s0000131,Whiteshell,MB,49.74,-95.2
s0000135,Virden,MB,49.85,-100.93
s0000136,Melita,MB,49.27,-101
s0000137,Turtle Mountain (Provincial Park),MB,49.05,-100.25
s0000139,Swan River,MB,52.11,-101.27
s0000150,Morris,MB,49.36,-97.37
s0000151,Steinbach,MB,49.53,-96.68
s0000152,Dominion City,MB,49.14,-97.16
s0000153,Emerson,MB,49.01,-97.21
s0000154,Vita,MB,49.13,-96.56
s0000160,Snow Lake,MB,54.88,-100.04
s0000161,Pukatawagan,MB,55.74,-101.32
s0000171,Altona,MB,49.1,-97.56
s0000172,Gretna,MB,49.01,-97.56
