longitude,latitude,elevation,name,station_id,timeZone
-112.00346,33.4278,339.852,"Phoenix, Phoenix Sky Harbor International Airport",KPHX,America/Phoenix
-122.36558,37.61961,3.048,"San Francisco, San Francisco International Airport",KSFO,America/Los_Angeles
-116.24053,43.56704,860.1456,Boise Air Terminal,KBOI,America/Boise
-99.96972,37.77278,790.0416,"Dodge City, Dodge City Regional Airport",KDDC,America/Chicago
-111.96503,40.77069,1288.0848,"Salt Lake City, Salt Lake City International Airport",KSLC,America/Denver
-104.65622,39.84658,1647.1392,"Denver, Denver International Airport",KDEN,America/Denver
-111.38222,47.47333,1120.14,"Great Falls, Great Falls International Airport",KGTF,America/Denver
-122.87696,42.37503,399.8976,Rogue Valley International Airport,KMFR,America/Los_Angeles
-106.61472,35.04167,1630.9847,"Albuquerque, Albuquerque International Airport",KABQ,America/Denver
-118.38889,33.93806,38.1,"Los Angeles, Los Angeles International Airport",KLAX,America/Los_Angeles
-117.08722,38.06028,1653.8448,"Tonopah, Tonopah Airport",KTPH,America/Los_Angeles
-122.31361,47.44472,130.1496,"Seattle, Seattle-Tacoma International Airport",KSEA,America/Los_Angeles
-101.82139,33.6675,1000.0488,"Lubbock, Lubbock International Airport",KLBB,America/Chicago
-100.75722,46.7825,511.1496,"Bismarck, Bismarck Municipal Airport",KBIS,America/Chicago
-81.69333,30.49444,9.144,"Jacksonville, Jacksonville International Airport",KJAX,America/New_York
-68.01333,46.86722,191.1096,"Caribou, Caribou Municipal Airport",KCAR,America/New_York
-77.4475,38.93472,95.0976,"Washington/Dulles International Airport, DC",KIAD,America/New_York
-71.01056,42.36056,6.096,"Boston, Logan International Airport",KBOS,America/New_York
-97.42306,25.91417,7.0104,"Brownsville, Brownsville / South Padre Island International Airport",KBRO,America/Chicago
-84.67229,39.04456,262.128,Cincinnati/Northern Kentucky International Airport,KCVG,America/New_York
-77.89987,34.26681,7.0104,Wilmington International Airport,KILM,America/New_York
-134.57611,58.35472,6.096,"Juneau, Juneau International Airport",PAJN,America/Juneau
-94.73056,39.29722,312.1152,"Kansas City, Kansas City International Airport",KMCI,America/Chicago
-84.35722,46.47944,210.0072,Sault Ste. Marie,KANJ,America/Detroit
-84.42694,33.64028,313.0296,"Atlanta, Hartsfield - Jackson Atlanta International Airport",KATL,America/New_York
-78.73604,42.93998,216.1032,"Buffalo, Greater Buffalo International Airport",KBUF,America/New_York
-90.25083,29.99278,0.9144,"New Orleans, New Orleans International Airport",KMSY,America/Chicago
-97.02196,32.89743,164.8968,Dallas/Fort Worth International Airport,KDFW,America/Chicago
-93.22889,44.88306,256.032,"Minneapolis, Minneapolis-St. Paul International Airport",KMSP,America/Chicago
-80.31639,25.79056,3.048,"Miami, Miami International Airport",KMIA,America/New_York
-92.23611,34.72667,78.9432,"Little Rock, Adams Field",KLIT,America/Chicago
-87.90444,41.97972,202.9968,"Chicago, Chicago-O'Hare International Airport",KORD,America/Chicago
-98.46361,29.53278,245.9736,"San Antonio, San Antonio International Airport",KSAT,America/Chicago
-90.37361,38.7525,184.0992,"St. Louis, Lambert-St. Louis International Airport",KSTL,America/Chicago
-105.10417,39.90085,1691.9448,Broomfield / Jeffco,KBJC,America/Denver
-106.09573,35.61097,1908.048,Santa Fe County Municipal Airport,KSAF,America/Denver
-122.31361,47.54583,4.8768,"Seattle, Seattle Boeing Field",KBFI,America/Los_Angeles
-96.81111,46.92528,274.0152,"Fargo, Hector International Airport",KFAR,America/Chicago
-112.01681,41.19406,1353.312,Ogden-Hinckley Airport,KOGD,America/Denver
-123.21444,44.13333,110.9472,"Eugene, Mahlon Sweet Field",KEUG,America/Los_Angeles
-112.06618,33.69026,452.9328,"Phoenix, Phoenix-Deer Valley Municipal Airport",KDVT,America/Phoenix
-117.52778,47.62139,722.9856,"Spokane, Spokane International Airport",KGEG,America/Los_Angeles
-117.57583,34.05333,287.1216,"Ontario, Ontario International Airport",KONT,America/Los_Angeles
-122.23294,37.7178,0.9144,"Oakland, Metro Oakland International Airport",KOAK,America/Los_Angeles
-106.97411,44.76031,1210.056,Sheridan County Airport,KSHR,America/Denver
-100.55139,42.85861,789.1272,"Valentine, Miller Field",KVTN,America/Chicago
-80.04056,32.89889,14.0208,"Charleston, Charleston Air Force Base",KCHS,America/New_York
-81.51275,30.33709,10.9728,Jacksonville Craig Municipal Airport,KCRG,America/New_York
-75.6225,35.23222,4.8768,"Hatteras, Mitchell Field",KHSE,America/New_York
-96.85506,32.85416,145.0848,Dallas Love Field,KDAL,America/Chicago
-87.75528,41.78417,188.0616,"Chicago, Chicago Midway Airport",KMDW,America/Chicago
-94.59694,39.12083,231.0384,"Kansas City, Kansas City Downtown Airport",KMKC,America/Chicago
-73.76393,40.63915,3.048,"New York, Kennedy International Airport",KJFK,America/New_York
-83.33083,42.23139,193.8528,"Detroit, Detroit Metropolitan Wayne County Airport",KDTW,America/Detroit
-84.56694,33.35528,245.9736,"Atlanta, Peachtree City-Falcon Field",KFFC,America/New_York
-77.03417,38.84833,3.9624,"Washington/Reagan National Airport, DC",KDCA,America/New_York
-84.41583,39.10583,146.9136,"Cincinnati, Cincinnati Municipal Airport Lunken Field",KLUK,America/New_York
-93.39556,48.55944,352.9584,Falls International Airport,KINL,America/Chicago
-89.85,38.55,139.9032,"Belleville, Scott AFB/MidAmerica Airport",KBLV,America/Chicago
-73.88,40.77917,6.096,"New York, La Guardia Airport",KLGA,America/New_York
-92.15,34.91667,95.0976,Little Rock Air Force Base,KLRF,America/Chicago
-93.05588,44.93237,213.0552,Downtown Holman Field,KSTP,America/Chicago
-80.28306,25.91,3.048,"Miami, Opa Locka Airport",KOPF,America/New_York
-90.02889,30.04944,2.1336,"New Orleans, New Orleans Lakefront Airport",KNEW,America/Chicago
-119.71944,36.78,100.8888,"Fresno, Fresno Air Terminal",KFAT,America/Los_Angeles
-110.95635,32.13153,776.0208,"Tucson, Tucson International Airport",KTUS,America/Phoenix
-122.60917,45.59578,6.096,"Portland, Portland International Airport",KPDX,America/Los_Angeles
-95.90185,41.3119,298.0944,Omaha - Eppley Airfield,KOMA,America/Chicago
-100.92361,29.37472,303.8856,"Del Rio, Del Rio International Airport",KDRT,America/Chicago
-103.05389,44.04556,975.9696,"Rapid City, Rapid City Regional Airport",KRAP,America/Denver
-118.83417,45.69833,455.0664,"Pendleton, Eastern Oregon Regional At Pendleton Airport",KPDT,America/Los_Angeles
-111.66637,35.14433,2131.7712,Flagstaff Pulliam Airport,KFLG,America/Phoenix
-121.49597,38.50674,4.8768,Sacramento Executive Airport,KSAC,America/Los_Angeles
-117.18306,32.73361,3.9624,"San Diego, San Diego International-Lindbergh Field",KSAN,America/Los_Angeles
-121.8475,36.59056,77.1144,"Monterey, Monterey Peninsula Airport",KMRY,America/Los_Angeles
-119.76819,39.50776,1342.0344,"Reno, Reno Tahoe International Airport",KRNO,America/Los_Angeles
-108.53861,39.13389,1481.0232,Grand Junction Regional Airport,KGJT,America/Denver
-108.44639,43.06194,1684.02,"Riverton, Riverton Regional Airport",KRIW,America/Denver
-124.555,47.9375,59.1312,"Quillayute, Quillayute State Airport",KUIL,America/Los_Angeles
-122.995,44.90778,64.008,"Salem, McNary Field",KSLE,America/Los_Angeles
-115.1634,36.07188,664.464,"Las Vegas, McCarran International Airport",KLAS,America/Los_Angeles
-104.75806,39.71331,1699.8696,Buckley Air Force Base Airport,KBKF,America/Denver
-106.62139,48.21389,698.9064,"Glasgow, Glasgow International Airport",KGGW,America/Denver
-106.37583,31.81111,1206.0936,"El Paso, El Paso International Airport",KELP,America/Denver
-96.75361,43.57694,434.9496,"Sioux Falls, Foss Field",KFSD,America/Chicago
-97.1825,47.94806,256.9464,"Grand Forks, Grand Forks International Airport",KGFK,America/Chicago
-93.66611,41.53778,291.084,"Des Moines, Des Moines International Airport",KDSM,America/Chicago
-95.36074,29.9844,27.1272,Houston Intercontinental Airport,KIAH,America/Chicago
-89.82194,30.34306,9.144,"Slidell, Slidell Airport",KASD,America/Chicago
-97.36417,32.82528,216.1032,"Fort Worth, Meacham International Airport",KFTW,America/Chicago
-86.2816,39.72518,240.792,Indianapolis International Airport,KIND,America/Indiana/Indianapolis
-89.98634,35.05644,77.1144,Memphis International Airport,KMEM,America/Chicago
-92.1866,46.84347,434.9496,Duluth International Airport,KDLH,America/Chicago
-70.05972,41.25389,14.0208,"Nantucket, Nantucket Memorial Airport",KACK,America/New_York
-86.68917,36.11889,181.9656,"Nashville, Nashville International Airport",KBNA,America/Chicago
-81.75539,24.55707,0.9144,Key West International Airport,KEYW,America/New_York
-97.51278,27.77306,13.1064,"Corpus Christi, Corpus Christi International Airport",KCRP,America/Chicago
-74.16944,40.6825,4.8768,"Newark, Newark International Airport",KEWR,America/New_York
-67.79194,46.12306,149.0472,"Houlton, Houlton International Airport",KHUL,America/New_York
-81.32413,28.41826,27.1272,Orlando International Airport,KMCO,America/New_York
-71.29444,42.46833,39.9288,"Bedford, Hanscom Field",KBED,America/New_York
-80.26639,40.50389,366.0648,"Pittsburgh, Pittsburgh International Airport",KPIT,America/New_York
-78.78185,35.89223,120.0912,"Raleigh / Durham, Raleigh-Durham International Airport",KRDU,America/New_York
-83.41,42.66306,299.0088,"Pontiac, Oakland County International Airport",KPTK,America/Detroit
-97.60028,35.38861,394.1064,"Oklahoma City, Will Rogers World Airport",KOKC,America/Chicago
-116.50431,33.82219,124.0536,Palm Springs Regional Airport,KPSP,America/Los_Angeles
-104.5057,38.28869,1424.0256,Pueblo Memorial Airport,KPUB,America/Denver
